country,iso3,region,sub_region,population_2020,year,parent_location,obesity_low,obesity,obesity_high,overweight_low,overweight,overweight_high,underweight_low,underweight,underweight_high
Afghanistan,AFG,Asia,Southern Asia,38928341,2016,Eastern Mediterranean,2.8,4.5,6.7,15.8,19.7,24,10.3,16.4,23.2
Angola,AGO,Africa,Sub-Saharan Africa,32866268,2016,Africa,4.2,6.8,10.3,19,23.9,29.2,7.7,13.7,21
Albania,ALB,Europe,Southern Europe,2837743,2016,Europe,17.4,22.3,27.4,53.8,58.7,63.5,0.6,1.3,2.6
Andorra,AND,Europe,Southern Europe,77265,2016,Europe,22,28,34,63.1,68.1,72.7,0.3,0.8,1.9
United Arab Emirates,ARE,Asia,Western Asia,9890400,2016,Eastern Mediterranean,24,29.9,36,60.7,65.9,71,0.9,1.7,3
Argentina,ARG,Americas,Latin America and the Caribbean,45376763,2016,Americas,23.7,28.5,33.7,58.8,63.4,67.8,0.4,0.9,1.5
Armenia,ARM,Asia,Western Asia,2963234,2016,Europe,16.3,20.9,25.7,50.6,55.7,60.5,1.4,2.6,4.4
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,97928,2016,Americas,13.9,19.1,24.8,42.5,48.4,54.5,2.2,4.7,8.5
Australia,AUS,Oceania,Australia and New Zealand,25687041,2016,Western Pacific,26.5,30.4,34.4,63.6,67.2,70.6,0.6,1.1,1.7
Austria,AUT,Europe,Western Europe,8917205,2016,Europe,17.5,21.9,26.8,53.3,58.1,62.5,0.8,1.6,3
Azerbaijan,AZE,Asia,Western Asia,10093121,2016,Europe,15.3,19.9,24.9,48.1,53.5,58.7,1.1,2.3,4.2
Burundi,BDI,Africa,Sub-Saharan Africa,11890781,2016,Africa,2.8,4.4,6.6,15.6,19.3,23.3,7.8,12.9,18.9
Belgium,BEL,Europe,Western Europe,11555997,2016,Europe,20.7,24.5,28.5,60.1,64.1,67.9,0.5,0.9,1.5
Benin,BEN,Africa,Sub-Saharan Africa,12123198,2016,Africa,6,8.2,10.8,22.4,26.3,30.4,6.5,9.9,14.2
Burkina Faso,BFA,Africa,Sub-Saharan Africa,20903278,2016,Africa,3.1,4.5,6.3,16.5,20,23.7,8.3,12,16.5
Bangladesh,BGD,Asia,Southern Asia,164689383,2016,South-East Asia,2.2,3.4,4.7,15.7,19,22.7,16.4,21,26
Bulgaria,BGR,Europe,Eastern Europe,6934015,2016,Europe,21.8,27.4,33.3,61.3,66.3,71,0.3,0.9,2
Bahrain,BHR,Asia,Western Asia,1701583,2016,Eastern Mediterranean,23.5,28.7,34.2,59.3,64.4,69.3,1.6,2.9,4.8
The Bahamas,BHS,Americas,Latin America and the Caribbean,393248,2016,Americas,26.1,32.1,38.5,60,65.2,70.2,1,2.4,4.6
Bosnia and Herzegovina,BIH,Europe,Southern Europe,3280815,2016,Europe,15.1,19.4,24.1,51.3,56.4,61.2,0.7,1.4,2.4
Belarus,BLR,Europe,Eastern Europe,9379952,2016,Europe,21.2,26.6,32.4,57.8,62.9,68,0.5,1.3,2.7
Belize,BLZ,Americas,Latin America and the Caribbean,397621,2016,Americas,17.5,22.4,27.9,46.3,51.8,57.2,1.9,3.6,6
Bolivia,BOL,Americas,Latin America and the Caribbean,11673029,2016,Americas,14.2,18.7,23.7,47.9,53.2,58.6,0.8,1.7,3.1
Brazil,BRA,Americas,Latin America and the Caribbean,212559409,2016,Americas,18.9,22.3,25.9,52.6,56.9,61,1.8,2.7,3.8
Barbados,BRB,Americas,Latin America and the Caribbean,287371,2016,Americas,19.8,24.8,30.2,49.7,55.3,61,1.6,3.1,5
Brunei,BRN,Asia,South-eastern Asia,437483,2016,Western Pacific,11,14.7,18.9,37.1,42.2,47.5,3.3,5.8,9
Bhutan,BTN,Asia,Southern Asia,771612,2016,South-East Asia,3.8,5.8,8.2,21.1,25.4,30.2,6.6,10.8,15.8
Botswana,BWA,Africa,Sub-Saharan Africa,2351625,2016,Africa,12.3,16.1,20.3,33.4,38.4,43.3,6.1,9.7,14.2
Central African Republic,CAF,Africa,Sub-Saharan Africa,4829764,2016,Africa,4,6.3,9.3,18.6,23.2,28.3,9.3,14.9,21.4
Canada,CAN,Americas,Northern America,38005238,2016,Americas,27.4,31.3,35.3,64,67.5,71,0.6,1.1,1.7
Switzerland,CHE,Europe,Western Europe,8636896,2016,Europe,17.3,21.2,25.3,53.5,57.9,61.9,1,1.9,3.4
Chile,CHL,Americas,Latin America and the Caribbean,19116209,2016,Americas,24.2,28.8,33.7,59.7,64.4,68.8,0.3,0.7,1.2
China,CHN,Asia,Eastern Asia,1410929362,2016,Western Pacific,5.1,6.6,8.4,30.1,33.8,37.8,3.6,4.9,6.5
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,26378275,2016,Africa,6.7,9,11.9,24.5,28.7,33.2,5.1,8.3,12.2
Cameroon,CMR,Africa,Sub-Saharan Africa,26545864,2016,Africa,7.1,9.5,12.2,25.6,29.7,34,4.7,7.3,10.5
Democratic Republic of the Congo,COD,Africa,Sub-Saharan Africa,89561404,2016,Africa,3.7,5.6,8,17.8,22.1,26.9,10.3,16,22.3
Congo,COG,Africa,Sub-Saharan Africa,5518092,2016,Africa,5.8,8.4,11.5,23.1,28.1,33.1,8.4,13.2,18.8
Colombia,COL,Americas,Latin America and the Caribbean,50882884,2016,Americas,18.3,22.1,26.2,54.5,58.6,62.9,1.4,2.3,3.5
Comoros,COM,Africa,Sub-Saharan Africa,869595,2016,Africa,4.7,6.9,9.6,20.6,24.8,29.1,6.4,10.3,15.2
Cape Verde,CPV,Africa,Sub-Saharan Africa,555988,2016,Africa,7.5,10.6,14,27.4,32.1,37.1,4.6,8.2,13
Costa Rica,CRI,Americas,Latin America and the Caribbean,5094114,2016,Americas,21.2,25.7,30.6,57,61.5,65.8,1,1.8,3
Cuba,CUB,Americas,Latin America and the Caribbean,11326616,2016,Americas,21.9,26.7,31.7,57,62.2,66.9,2.4,4.1,6.4
Cyprus,CYP,Asia,Western Asia,1207361,2016,Europe,17.4,22.6,28.3,56,60.8,65.7,0.4,1.1,2.2
Czech Republic,CZE,Europe,Eastern Europe,10698896,2016,Europe,23.5,28.5,33.9,62,66.7,71.1,0.3,0.8,1.5
Germany,DEU,Europe,Western Europe,83240525,2016,Europe,21.9,25.7,29.8,58.7,62.8,66.7,0.5,0.8,1.3
Djibouti,DJI,Africa,Sub-Saharan Africa,988002,2016,Eastern Mediterranean,8.6,12.2,16.7,30,35.7,41.3,4.3,8.3,13.8
Dominica,DMA,Americas,Latin America and the Caribbean,71991,2016,Americas,22.6,28.2,33.9,55.6,60.7,65.9,1.4,2.9,5.2
Denmark,DNK,Europe,Northern Europe,5831404,2016,Europe,17.5,21.3,25.3,54.9,59.2,63.3,0.9,1.7,2.9
Dominican Republic,DOM,Americas,Latin America and the Caribbean,10847904,2016,Americas,22,26.9,32.2,55,59.9,64.6,1.8,3.3,5.4
Algeria,DZA,Africa,Northern Africa,43851043,2016,Africa,21.7,26.6,32,56,60.7,65.4,2,3.6,5.9
